Temperatur,pH,Lipase_Aktivität_1,Lipase_Aktivität_2,Lipase_Aktivität_3
8.9,6.5,2.190416108,1.105268274,1.567277569
11.0,5.5,2.482833447,2.834105056,3.072196977
11.0,7.5,2.745053785,2.961712044,2.870795174
12.9,6.5,2.53432422,2.255545769,2.075885531
15.0,5.5,3.854047307,4.345163821,4.170384918
15.0,7.5,3.437099964,3.742590164,4.122656311
16.0,5.09,4.800981052,5.406447351,5.439260768
16.0,6.5,6.335980041,6.37335841,6.418294326
16.0,7.91,1.911592459,2.070868604,2.120314717
17.9,7.0,10.80278208,9.840933387,10.85316211
20.0,5.08,5.971116268,4.796147423,5.123400083
20.0,6.0,10.54607753,10.08930739,10.06413941
20.0,6.5,5.326425725,4.198427592,5.144571956
20.0,7.9,2.915776638,3.120765236,2.785520545
20.0,8.0,11.17086926,12.05161625,11.35352443
21.0,5.5,8.819237639,8.203797177,7.857790704
21.0,7.5,10.20429998,11.79312721,14.59521582
21.5,7.1,12.27182503,14.08321418,13.13370705
23.1,6.5,11.50445682,9.509384987,17.85072796
25.0,5.5,7.24956089,6.859633878,8.15364193
25.0,5.58,12.59041372,12.27823824,13.47067585
25.0,6.5,11.50574201,11.30595706,9.768537451
25.0,7.0,11.04366299,12.33278355,14.47488256
25.0,7.5,9.164423601,10.17927139,9.669043276
25.0,8.41,11.39668793,10.40056072,12.41405424
27.0,6.5,10.67589904,5.385735012,7.944867633
30.0,6.0,11.07329683,12.8461554,12.51425519
30.0,8.0,9.385259952,8.637850224,9.317725903
32.1,7.0,9.031155229,8.651680335,7.033063425
